routeid_date,cluster,anomaly_label,anomaly_score,cluster_mean_diff,peak_ratio,comment_ko
CJB270012300_2024-01-22,2.0,1.0,-0.5097328101106455,0.4162862994283336,0.09821428571428571,정상 또는 경미한 편차
CJB270012300_2024-01-23,6.0,1.0,-0.4967885034851059,0.42352170802968564,0.0970873786407767,정상 또는 경미한 편차
CJB270012300_2024-01-24,5.0,1.0,-0.5226689106756991,0.6485356541501425,0.08620689655172414,정상 또는 경미한 편차
CJB270012300_2024-01-25,7.0,1.0,-0.4918443539438374,0.3685288625314258,0.1,정상 또는 경미한 편차
CJB270012300_2024-01-26,5.0,-1.0,-0.5673526871587047,0.4486155450374591,0.08130081300813008,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012300_2024-01-27,1.0,1.0,-0.5384308524916275,0.9460212515894889,0.11764705882352941,정상 또는 경미한 편차
CJB270012300_2024-01-28,4.0,1.0,-0.5418856303940697,1.0868514472704278,0.13953488372093023,정상 또는 경미한 편차
CJB270012300_2024-01-29,3.0,1.0,-0.5013438912823529,0.4324441710104015,0.09821428571428571,정상 또는 경미한 편차
CJB270012300_2024-01-30,0.0,1.0,-0.4820821010155174,0.4794098978854682,0.10416666666666667,정상 또는 경미한 편차
CJB270012400_2024-01-01,2.0,-1.0,-0.5637790730000162,0.5499693739665789,0.10576923076923077,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012400_2024-01-02,3.0,1.0,-0.5050212965706283,0.4051464742399921,0.0970873786407767,정상 또는 경미한 편차
CJB270012400_2024-01-03,2.0,1.0,-0.4815555310027397,0.38838856476991923,0.09803921568627451,정상 또는 경미한 편차
CJB270012400_2024-01-04,0.0,1.0,-0.4931155928083352,0.44288859765623245,0.10377358490566038,정상 또는 경미한 편차
CJB270012400_2024-01-05,0.0,1.0,-0.47859048818626193,0.4315758741635463,0.09615384615384616,정상 또는 경미한 편차
CJB270012400_2024-01-06,1.0,-1.0,-0.5585054334547057,0.9653395123767742,0.12244897959183673,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012400_2024-01-07,4.0,1.0,-0.5441761842014047,0.8375994129671195,0.125,정상 또는 경미한 편차
CJB270012400_2024-01-08,5.0,1.0,-0.5426156274227685,0.4061960065751175,0.0990990990990991,정상 또는 경미한 편차
CJB270012400_2024-01-09,0.0,1.0,-0.519535036454403,0.45586048311749433,0.0990990990990991,정상 또는 경미한 편차
CJB270012400_2024-01-10,6.0,1.0,-0.5033100956417221,0.430273094280295,0.0990990990990991,정상 또는 경미한 편차
CJB270012400_2024-01-11,0.0,1.0,-0.468450847107864,0.40912706501833696,0.10679611650485436,정상 또는 경미한 편차
CJB270012400_2024-01-12,5.0,1.0,-0.5267805363204757,0.6435461739124594,0.08928571428571429,정상 또는 경미한 편차
CJB270012400_2024-01-13,4.0,1.0,-0.5397553420091855,0.7154783058974111,0.14285714285714285,정상 또는 경미한 편차
CJB270012400_2024-01-14,4.0,1.0,-0.5351132405941161,0.8829431908426618,0.10714285714285714,정상 또는 경미한 편차
CJB270012400_2024-01-15,0.0,1.0,-0.49535569086818815,0.6342370001612355,0.09473684210526316,정상 또는 경미한 편차
CJB270012400_2024-01-16,5.0,1.0,-0.5240526821576686,0.4159422108292152,0.10476190476190476,정상 또는 경미한 편차
CJB270012400_2024-01-17,6.0,1.0,-0.5060766544883709,0.5043761354932753,0.08264462809917356,정상 또는 경미한 편차
CJB270012400_2024-01-18,2.0,1.0,-0.5069747239667982,0.42683922614766373,0.09734513274336283,정상 또는 경미한 편차
CJB270012400_2024-01-19,3.0,1.0,-0.5311372061362294,0.4305620398461068,0.09090909090909091,정상 또는 경미한 편차
CJB270012400_2024-01-20,1.0,1.0,-0.5297344196022011,0.7872644692785028,0.10909090909090909,정상 또는 경미한 편차
CJB270012400_2024-01-21,4.0,1.0,-0.49334087068845345,0.7554455263164543,0.12244897959183673,정상 또는 경미한 편차
CJB270012400_2024-01-22,5.0,1.0,-0.5069395645938557,0.3974311516320899,0.1,정상 또는 경미한 편차
CJB270012400_2024-01-23,3.0,1.0,-0.5457782557615922,0.43456663978237087,0.10638297872340426,정상 또는 경미한 편차
CJB270012400_2024-01-24,6.0,-1.0,-0.549737325101161,0.7229418337404216,0.09574468085106383,일반 패턴과 상이 → 노선 구조·운영 이슈 점검 필요
CJB270012400_2024-01-25,7.0,1.0,-0.5407007091581837,0.6844617673477912,0.09009009009009009,정상 또는 경미한 편차
